cluster_id,C_albicans,C_glabrata,K_lactis,S_cerevisiae,unknown,species_count
Cluster1477,1,0,0,0,0,1
Cluster1478,1,0,1,0,0,2
Cluster1479,0,1,1,1,0,3
Cluster148,0,0,1,0,0,1
Cluster1480,1,0,1,1,0,3
Cluster1481,0,1,1,1,0,3
Cluster1482,0,1,0,1,0,2
Cluster1483,0,1,1,1,0,3
Cluster1484,1,0,0,0,0,1
Cluster1485,0,1,0,0,0,1
Cluster1486,1,0,0,0,0,1
Cluster1487,1,0,0,0,0,1
Cluster1488,1,0,0,0,0,1
Cluster1489,1,0,0,0,0,1
Cluster149,0,1,1,1,0,3
Cluster1490,1,0,0,0,0,1
Cluster1491,0,0,0,1,0,1
Cluster1492,0,1,0,1,0,2
Cluster1493,0,0,0,1,0,1
Cluster1494,0,1,0,0,1,2
Cluster1495,1,1,1,1,0,4
Cluster1496,1,0,0,0,0,1
Cluster1497,1,0,0,0,0,1
Cluster1498,1,0,0,0,0,1
Cluster1499,0,0,1,0,0,1
Cluster15,0,0,0,1,0,1
Cluster150,0,1,0,1,0,2
Cluster1500,0,0,0,1,0,1
Cluster1501,0,0,0,1,0,1
Cluster1502,0,0,0,1,0,1
Cluster1503,0,0,0,1,0,1
Cluster1504,0,0,1,0,0,1
Cluster1505,0,0,0,1,0,1
Cluster1506,0,0,0,1,0,1
Cluster1507,1,0,0,0,0,1
Cluster1508,0,1,1,1,0,3
Cluster1509,1,1,1,1,0,4
Cluster151,0,1,0,0,0,1
Cluster1510,0,0,0,0,1,1
Cluster1511,0,1,1,1,0,3
Cluster1512,0,1,0,0,0,1
Cluster1513,0,0,1,0,0,1
Cluster1514,0,1,1,1,0,3
Cluster1515,0,0,0,0,1,1
Cluster1516,0,0,0,0,1,1
Cluster1517,0,0,1,0,0,1
Cluster1518,0,0,0,1,0,1
Cluster1519,0,0,0,0,1,1
Cluster152,0,0,0,1,0,1
Cluster1520,0,1,0,1,0,2
Cluster1521,0,0,0,0,1,1
Cluster1522,0,0,0,0,1,1
Cluster1523,0,0,0,0,1,1
Cluster1524,0,0,0,0,1,1
Cluster1525,1,1,1,1,0,4
Cluster1526,1,0,0,0,0,1
Cluster1527,1,0,0,0,0,1
Cluster1528,1,1,1,1,0,4
Cluster1529,1,1,1,1,0,4
Cluster153,0,0,0,1,0,1
Cluster1530,1,1,1,2,0,4
Cluster1531,1,1,1,1,0,4
Cluster1532,1,1,1,1,0,4
Cluster1533,1,1,1,1,0,4
Cluster1534,1,1,1,1,0,4
Cluster1535,1,1,1,1,0,4
Cluster1536,1,1,1,1,0,4
Cluster1537,1,1,1,1,0,4
Cluster1538,0,1,1,1,0,3
Cluster1539,1,0,0,0,0,1
Cluster154,0,0,0,1,0,1
Cluster1540,0,0,1,1,0,2
Cluster1541,0,1,1,1,0,3
